study_uid,series_uid
1.3.6.1.4.1.14519.5.2.1.6279.6001.336271942450113106996588030279,1.3.6.1.4.1.14519.5.2.1.6279.6001.176030616406569931557298712518
1.3.6.1.4.1.14519.5.2.1.6279.6001.277917899093238118799634234844,1.3.6.1.4.1.14519.5.2.1.6279.6001.257515388956260258681136624817
1.3.6.1.4.1.14519.5.2.1.6279.6001.138751917514248782010778675083,1.3.6.1.4.1.14519.5.2.1.6279.6001.133378195429627807109985347209
1.3.6.1.4.1.14519.5.2.1.6279.6001.752603750437458841409277737148,1.3.6.1.4.1.14519.5.2.1.6279.6001.104780906131535625872840889059
1.3.6.1.4.1.14519.5.2.1.6279.6001.219081768759399413645906161308,1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826
1.3.6.1.4.1.14519.5.2.1.6279.6001.212697393127299815450339637649,1.3.6.1.4.1.14519.5.2.1.6279.6001.410251741986998833890312367579
1.3.6.1.4.1.14519.5.2.1.6279.6001.309564852246680613688744241427,1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032
1.3.6.1.4.1.14519.5.2.1.6279.6001.780121538270617222115253441513,1.3.6.1.4.1.14519.5.2.1.6279.6001.768856069922657732839929586657
1.3.6.1.4.1.14519.5.2.1.6279.6001.200556866344536431817884531386,1.3.6.1.4.1.14519.5.2.1.6279.6001.183924380327950237519832859527
1.3.6.1.4.1.14519.5.2.1.6279.6001.107117680739311641559517949056,1.3.6.1.4.1.14519.5.2.1.6279.6001.244204120220889433826451158706
1.3.6.1.4.1.14519.5.2.1.6279.6001.253123637959400428278268237946,1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585
1.3.6.1.4.1.14519.5.2.1.6279.6001.577239032421661596436882763701,1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872
1.3.6.1.4.1.14519.5.2.1.6279.6001.229453814067948782185747812606,1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249
1.3.6.1.4.1.14519.5.2.1.6279.6001.175760080411828194592094064838,1.3.6.1.4.1.14519.5.2.1.6279.6001.306948744223170422945185006551
1.3.6.1.4.1.14519.5.2.1.6279.6001.205295494158831463556858756520,1.3.6.1.4.1.14519.5.2.1.6279.6001.194766721609772924944646251928
1.3.6.1.4.1.14519.5.2.1.6279.6001.128882236014679059490275573019,1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450
1.3.6.1.4.1.14519.5.2.1.6279.6001.182529561822199780545440408033,1.3.6.1.4.1.14519.5.2.1.6279.6001.465032801496479029639448332481
1.3.6.1.4.1.14519.5.2.1.6279.6001.185852472264155752604841654643,1.3.6.1.4.1.14519.5.2.1.6279.6001.195913706607582347421429908613
1.3.6.1.4.1.14519.5.2.1.6279.6001.253735246078920128978742275635,1.3.6.1.4.1.14519.5.2.1.6279.6001.173931884906244951746140865701
1.3.6.1.4.1.14519.5.2.1.6279.6001.280531413986295071283803322793,1.3.6.1.4.1.14519.5.2.1.6279.6001.200841000324240313648595016964
1.3.6.1.4.1.14519.5.2.1.6279.6001.370700630609225608130630902041,1.3.6.1.4.1.14519.5.2.1.6279.6001.313283554967554803238484128406
1.3.6.1.4.1.14519.5.2.1.6279.6001.118873832573622894386164980989,1.3.6.1.4.1.14519.5.2.1.6279.6001.173106154739244262091404659845
1.3.6.1.4.1.14519.5.2.1.6279.6001.198021313421875017435046583973,1.3.6.1.4.1.14519.5.2.1.6279.6001.246589849815292078281051154201
1.3.6.1.4.1.14519.5.2.1.6279.6001.191294111388782437161651532011,1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493
1.3.6.1.4.1.14519.5.2.1.6279.6001.188204058669364993757306038569,1.3.6.1.4.1.14519.5.2.1.6279.6001.320111824803959660037459294083
1.3.6.1.4.1.14519.5.2.1.6279.6001.326975664298894323901926187239,1.3.6.1.4.1.14519.5.2.1.6279.6001.944888107209008719031293531091
1.3.6.1.4.1.14519.5.2.1.6279.6001.267214856456387865154306936080,1.3.6.1.4.1.14519.5.2.1.6279.6001.321935195060268166151738328001
1.3.6.1.4.1.14519.5.2.1.6279.6001.247813601128055334769770235073,1.3.6.1.4.1.14519.5.2.1.6279.6001.822128649427327893802314908658
1.3.6.1.4.1.14519.5.2.1.6279.6001.429699865856208366565779600254,1.3.6.1.4.1.14519.5.2.1.6279.6001.614147706162329660656328811671
1.3.6.1.4.1.14519.5.2.1.6279.6001.302617159747584825959135390069,1.3.6.1.4.1.14519.5.2.1.6279.6001.242761658169703141430370511586
1.3.6.1.4.1.14519.5.2.1.6279.6001.141598007834192132861466794478,1.3.6.1.4.1.14519.5.2.1.6279.6001.200513183558872708878454294671
1.3.6.1.4.1.14519.5.2.1.6279.6001.324984193116544130562864675468,1.3.6.1.4.1.14519.5.2.1.6279.6001.245181799370098278918756923992
1.3.6.1.4.1.14519.5.2.1.6279.6001.272747692608963634087245721224,1.3.6.1.4.1.14519.5.2.1.6279.6001.249032660919473722154870746474
1.3.6.1.4.1.14519.5.2.1.6279.6001.297192539691487434404158853083,1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341
1.3.6.1.4.1.14519.5.2.1.6279.6001.562420213730031312300572553711,1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998
1.3.6.1.4.1.14519.5.2.1.6279.6001.314166198948235683770741486536,1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949
1.3.6.1.4.1.14519.5.2.1.6279.6001.899082900417573006084750602123,1.3.6.1.4.1.14519.5.2.1.6279.6001.861997885565255340442123234170
1.3.6.1.4.1.14519.5.2.1.6279.6001.322995703216827528672839235412,1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224
1.3.6.1.4.1.14519.5.2.1.6279.6001.244389108887315437307204657105,1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112
1.3.6.1.4.1.14519.5.2.1.6279.6001.921287276013810837359841315530,1.3.6.1.4.1.14519.5.2.1.6279.6001.171177995014336749670107905732
1.3.6.1.4.1.14519.5.2.1.6279.6001.521368364741046707593021144453,1.3.6.1.4.1.14519.5.2.1.6279.6001.211051626197585058967163339846
1.3.6.1.4.1.14519.5.2.1.6279.6001.293760350481778481843102622378,1.3.6.1.4.1.14519.5.2.1.6279.6001.166662353777397833477082464008
1.3.6.1.4.1.14519.5.2.1.6279.6001.165017330457520545748655969705,1.3.6.1.4.1.14519.5.2.1.6279.6001.324290109423920971676288828329
1.3.6.1.4.1.14519.5.2.1.6279.6001.633670303116637733124704376946,1.3.6.1.4.1.14519.5.2.1.6279.6001.238019241099704094018548301753
1.3.6.1.4.1.14519.5.2.1.6279.6001.906824386019316813789030483695,1.3.6.1.4.1.14519.5.2.1.6279.6001.254929810944557499537650429296
1.3.6.1.4.1.14519.5.2.1.6279.6001.310943546307547399461310181653,1.3.6.1.4.1.14519.5.2.1.6279.6001.270215889102603268207599305185
1.3.6.1.4.1.14519.5.2.1.6279.6001.639539378810400142491972900031,1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720
1.3.6.1.4.1.14519.5.2.1.6279.6001.261859010096419762853634942928,1.3.6.1.4.1.14519.5.2.1.6279.6001.439153572396640163898529626096
1.3.6.1.4.1.14519.5.2.1.6279.6001.172879081603366631101823390088,1.3.6.1.4.1.14519.5.2.1.6279.6001.957384617596077920906744920611
1.3.6.1.4.1.14519.5.2.1.6279.6001.311543823141683719978679431015,1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306
1.3.6.1.4.1.14519.5.2.1.6279.6001.124508094927772723365648607398,1.3.6.1.4.1.14519.5.2.1.6279.6001.316900421002460665752357657094
1.3.6.1.4.1.14519.5.2.1.6279.6001.713948008609685722859788330157,1.3.6.1.4.1.14519.5.2.1.6279.6001.111496024928645603833332252962
1.3.6.1.4.1.14519.5.2.1.6279.6001.446141203915389353091048690870,1.3.6.1.4.1.14519.5.2.1.6279.6001.271220641987745483198036913951
1.3.6.1.4.1.14519.5.2.1.6279.6001.267153963553416618872924015484,1.3.6.1.4.1.14519.5.2.1.6279.6001.690929968028676628605553365896
1.3.6.1.4.1.14519.5.2.1.6279.6001.402240049299350560004923763412,1.3.6.1.4.1.14519.5.2.1.6279.6001.121108220866971173712229588402
1.3.6.1.4.1.14519.5.2.1.6279.6001.125755525194735914218741665527,1.3.6.1.4.1.14519.5.2.1.6279.6001.236452051640243530449001532111
1.3.6.1.4.1.14519.5.2.1.6279.6001.461502489756528153281751961352,1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865
1.3.6.1.4.1.14519.5.2.1.6279.6001.203918583798186026281890202047,1.3.6.1.4.1.14519.5.2.1.6279.6001.908250781706513856628130123235
1.3.6.1.4.1.14519.5.2.1.6279.6001.246541809203697037171004327898,1.3.6.1.4.1.14519.5.2.1.6279.6001.147979688121667984912633630926
1.3.6.1.4.1.14519.5.2.1.6279.6001.145713291593525654962776610448,1.3.6.1.4.1.14519.5.2.1.6279.6001.125067060506283419853742462394
1.3.6.1.4.1.14519.5.2.1.6279.6001.305756441152306462678795884038,1.3.6.1.4.1.14519.5.2.1.6279.6001.179209990684978588019929720099
1.3.6.1.4.1.14519.5.2.1.6279.6001.172891325013037275999502688439,1.3.6.1.4.1.14519.5.2.1.6279.6001.449780571702869645673186059985
1.3.6.1.4.1.14519.5.2.1.6279.6001.181593981812293966599842811096,1.3.6.1.4.1.14519.5.2.1.6279.6001.184412674007117333405073397832
1.3.6.1.4.1.14519.5.2.1.6279.6001.212341120080087350703610584139,1.3.6.1.4.1.14519.5.2.1.6279.6001.207544473852086582434957174616
1.3.6.1.4.1.14519.5.2.1.6279.6001.216207548522622026268886920069,1.3.6.1.4.1.14519.5.2.1.6279.6001.802846969823720586279982179144
1.3.6.1.4.1.14519.5.2.1.6279.6001.267495169884268604035801498197,1.3.6.1.4.1.14519.5.2.1.6279.6001.326084450802794941185111945926
1.3.6.1.4.1.14519.5.2.1.6279.6001.151462193009815033155890307894,1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904
1.3.6.1.4.1.14519.5.2.1.6279.6001.407122010994373607607380330242,1.3.6.1.4.1.14519.5.2.1.6279.6001.483655032093002252444764787700
1.3.6.1.4.1.14519.5.2.1.6279.6001.248655117969906530264763921998,1.3.6.1.4.1.14519.5.2.1.6279.6001.799582546798528864710752164515
1.3.6.1.4.1.14519.5.2.1.6279.6001.288142673190348607009892502290,1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304
1.3.6.1.4.1.14519.5.2.1.6279.6001.190045142764457963256735097041,1.3.6.1.4.1.14519.5.2.1.6279.6001.620476670380256054392660616754
1.3.6.1.4.1.14519.5.2.1.6279.6001.301465695265899538081208550111,1.3.6.1.4.1.14519.5.2.1.6279.6001.262736997975960398949912434623
1.3.6.1.4.1.14519.5.2.1.6279.6001.236694495816915149507620783797,1.3.6.1.4.1.14519.5.2.1.6279.6001.141174904898798023569427533813
1.3.6.1.4.1.14519.5.2.1.6279.6001.218353171044902873293532449170,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663
1.3.6.1.4.1.14519.5.2.1.6279.6001.334142682219743556615674397992,1.3.6.1.4.1.14519.5.2.1.6279.6001.237428977311365557972720635401
1.3.6.1.4.1.14519.5.2.1.6279.6001.179926192573878616596153758496,1.3.6.1.4.1.14519.5.2.1.6279.6001.897684031374557757145405000951
1.3.6.1.4.1.14519.5.2.1.6279.6001.280050083021766496264016832213,1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037
1.3.6.1.4.1.14519.5.2.1.6279.6001.165928214371593461789742284562,1.3.6.1.4.1.14519.5.2.1.6279.6001.199282854229880908602362094937
1.3.6.1.4.1.14519.5.2.1.6279.6001.282592678243385281753684471720,1.3.6.1.4.1.14519.5.2.1.6279.6001.312127933722985204808706697221
1.3.6.1.4.1.14519.5.2.1.6279.6001.109276391800556245215148059611,1.3.6.1.4.1.14519.5.2.1.6279.6001.569096986145782511000054443951
1.3.6.1.4.1.14519.5.2.1.6279.6001.283314504686117114905176791940,1.3.6.1.4.1.14519.5.2.1.6279.6001.254957696184671649675053562027
1.3.6.1.4.1.14519.5.2.1.6279.6001.269884215256755446329937557120,1.3.6.1.4.1.14519.5.2.1.6279.6001.276556509002726404418399209377
1.3.6.1.4.1.14519.5.2.1.6279.6001.180841215015376467807831976209,1.3.6.1.4.1.14519.5.2.1.6279.6001.346115813056769250958550383763
1.3.6.1.4.1.14519.5.2.1.6279.6001.279815994089337890330418719400,1.3.6.1.4.1.14519.5.2.1.6279.6001.118924792893665851774878880764
1.3.6.1.4.1.14519.5.2.1.6279.6001.146389062541391302265553091834,1.3.6.1.4.1.14519.5.2.1.6279.6001.404303213662391867606219459686
1.3.6.1.4.1.14519.5.2.1.6279.6001.299257181285137013436464151874,1.3.6.1.4.1.14519.5.2.1.6279.6001.251204142823446211001577555181
1.3.6.1.4.1.14519.5.2.1.6279.6001.215072449579869595247908643994,1.3.6.1.4.1.14519.5.2.1.6279.6001.321465552859463184018938648244
1.3.6.1.4.1.14519.5.2.1.6279.6001.338681063148697211042842329869,1.3.6.1.4.1.14519.5.2.1.6279.6001.558286136379689377915919180358
1.3.6.1.4.1.14519.5.2.1.6279.6001.172057344391312701982079788940,1.3.6.1.4.1.14519.5.2.1.6279.6001.275007193025729362844652516689
1.3.6.1.4.1.14519.5.2.1.6279.6001.426292960722746490523326036933,1.3.6.1.4.1.14519.5.2.1.6279.6001.143782059748737055784173697516
1.3.6.1.4.1.14519.5.2.1.6279.6001.498311492348035259054610823788,1.3.6.1.4.1.14519.5.2.1.6279.6001.114249388265341701207347458535
1.3.6.1.4.1.14519.5.2.1.6279.6001.246917032284352184215612201998,1.3.6.1.4.1.14519.5.2.1.6279.6001.274052674198758621258447180130
1.3.6.1.4.1.14519.5.2.1.6279.6001.598304550863987021597036432704,1.3.6.1.4.1.14519.5.2.1.6279.6001.193964947698259739624715468431
1.3.6.1.4.1.14519.5.2.1.6279.6001.299799877133044736642536495362,1.3.6.1.4.1.14519.5.2.1.6279.6001.290135156874098366424871975734
1.3.6.1.4.1.14519.5.2.1.6279.6001.204769919102665056662271574089,1.3.6.1.4.1.14519.5.2.1.6279.6001.247816269490470394602288565775
1.3.6.1.4.1.14519.5.2.1.6279.6001.241438921576606444541425654823,1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872
1.3.6.1.4.1.14519.5.2.1.6279.6001.115899990477880066510865400229,1.3.6.1.4.1.14519.5.2.1.6279.6001.961063442349005937536597225349
1.3.6.1.4.1.14519.5.2.1.6279.6001.230800355892152356700875480882,1.3.6.1.4.1.14519.5.2.1.6279.6001.149463915556499304732434215056
1.3.6.1.4.1.14519.5.2.1.6279.6001.211186311281767598090156083844,1.3.6.1.4.1.14519.5.2.1.6279.6001.900182736599353600185270496549
1.3.6.1.4.1.14519.5.2.1.6279.6001.329219900591912979945974892373,1.3.6.1.4.1.14519.5.2.1.6279.6001.793644252453691436883431768064
1.3.6.1.4.1.14519.5.2.1.6279.6001.291105837361929821655470189849,1.3.6.1.4.1.14519.5.2.1.6279.6001.200783211179294046901893379828
1.3.6.1.4.1.14519.5.2.1.6279.6001.253018306736883838620886843861,1.3.6.1.4.1.14519.5.2.1.6279.6001.501205984478455794251416553685
1.3.6.1.4.1.14519.5.2.1.6279.6001.849090059968404135199482374496,1.3.6.1.4.1.14519.5.2.1.6279.6001.339039410276356623209709113755
1.3.6.1.4.1.14519.5.2.1.6279.6001.150506552813421138982733853172,1.3.6.1.4.1.14519.5.2.1.6279.6001.248425363469507808613979846863
1.3.6.1.4.1.14519.5.2.1.6279.6001.338336992240867140131763172276,1.3.6.1.4.1.14519.5.2.1.6279.6001.204802250386343794613980417281
1.3.6.1.4.1.14519.5.2.1.6279.6001.139007379520761595657549251638,1.3.6.1.4.1.14519.5.2.1.6279.6001.725236073737175770730904408416
1.3.6.1.4.1.14519.5.2.1.6279.6001.256230432050930445318439765836,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950
1.3.6.1.4.1.14519.5.2.1.6279.6001.124043676181995670004300402875,1.3.6.1.4.1.14519.5.2.1.6279.6001.447468612991222399440694673357
1.3.6.1.4.1.14519.5.2.1.6279.6001.107508721613473648848595116695,1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514
1.3.6.1.4.1.14519.5.2.1.6279.6001.279988868485323680600035963215,1.3.6.1.4.1.14519.5.2.1.6279.6001.137375498893536422914241295628
1.3.6.1.4.1.14519.5.2.1.6279.6001.547848375366758290042983535032,1.3.6.1.4.1.14519.5.2.1.6279.6001.179683407589764683292800449011
1.3.6.1.4.1.14519.5.2.1.6279.6001.154900488526447142456824787975,1.3.6.1.4.1.14519.5.2.1.6279.6001.156016499715048493339281864474
1.3.6.1.4.1.14519.5.2.1.6279.6001.234994879536134968838889803884,1.3.6.1.4.1.14519.5.2.1.6279.6001.331079701650130000691651987949
1.3.6.1.4.1.14519.5.2.1.6279.6001.110552610218214013901193645855,1.3.6.1.4.1.14519.5.2.1.6279.6001.216526102138308489357443843021
1.3.6.1.4.1.14519.5.2.1.6279.6001.320868967976297780563487478878,1.3.6.1.4.1.14519.5.2.1.6279.6001.743969234977916254223533321294
1.3.6.1.4.1.14519.5.2.1.6279.6001.204876032380829136260582432402,1.3.6.1.4.1.14519.5.2.1.6279.6001.404457313935200882843898832756
1.3.6.1.4.1.14519.5.2.1.6279.6001.173480979711457247360986415860,1.3.6.1.4.1.14519.5.2.1.6279.6001.237215747217294006286437405216
1.3.6.1.4.1.14519.5.2.1.6279.6001.202087967488314629195929644257,1.3.6.1.4.1.14519.5.2.1.6279.6001.245546033414728092794968890929
1.3.6.1.4.1.14519.5.2.1.6279.6001.605832828213886887633700370869,1.3.6.1.4.1.14519.5.2.1.6279.6001.173556680294801532247454313511
1.3.6.1.4.1.14519.5.2.1.6279.6001.503842574668180938785276053000,1.3.6.1.4.1.14519.5.2.1.6279.6001.228934821089041845791238006047
1.3.6.1.4.1.14519.5.2.1.6279.6001.128546361353633775045659990592,1.3.6.1.4.1.14519.5.2.1.6279.6001.306520140119968755187868602181
1.3.6.1.4.1.14519.5.2.1.6279.6001.255547294378103412654877543117,1.3.6.1.4.1.14519.5.2.1.6279.6001.797637294244261543517154417124
1.3.6.1.4.1.14519.5.2.1.6279.6001.157659992364948575945704799673,1.3.6.1.4.1.14519.5.2.1.6279.6001.186809786614942675852829709376
1.3.6.1.4.1.14519.5.2.1.6279.6001.254284452408440744726985192393,1.3.6.1.4.1.14519.5.2.1.6279.6001.139444426690868429919252698606
1.3.6.1.4.1.14519.5.2.1.6279.6001.216284625800598617220647330177,1.3.6.1.4.1.14519.5.2.1.6279.6001.246758220302211646532176593724
1.3.6.1.4.1.14519.5.2.1.6279.6001.130212238381185558806293057208,1.3.6.1.4.1.14519.5.2.1.6279.6001.675543413149938600000570588203
1.3.6.1.4.1.14519.5.2.1.6279.6001.684533679602381775258237049962,1.3.6.1.4.1.14519.5.2.1.6279.6001.397062004302272014259317520874
1.3.6.1.4.1.14519.5.2.1.6279.6001.100196544861967692255437311943,1.3.6.1.4.1.14519.5.2.1.6279.6001.141511313712034597336182402384
1.3.6.1.4.1.14519.5.2.1.6279.6001.670760254175238186822024748574,1.3.6.1.4.1.14519.5.2.1.6279.6001.266581250778073944645044950856
1.3.6.1.4.1.14519.5.2.1.6279.6001.293433201388001070931182667378,1.3.6.1.4.1.14519.5.2.1.6279.6001.126704785377921920210612476953
1.3.6.1.4.1.14519.5.2.1.6279.6001.227063200244152860572015411033,1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530
1.3.6.1.4.1.14519.5.2.1.6279.6001.807847494300907496059830326562,1.3.6.1.4.1.14519.5.2.1.6279.6001.230180665627287711381156820813
1.3.6.1.4.1.14519.5.2.1.6279.6001.283363009241515390315316302638,1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038
1.3.6.1.4.1.14519.5.2.1.6279.6001.214565862082106444257760478581,1.3.6.1.4.1.14519.5.2.1.6279.6001.991510467496831189331312523884
1.3.6.1.4.1.14519.5.2.1.6279.6001.128173929531863533946053948407,1.3.6.1.4.1.14519.5.2.1.6279.6001.206097113343059612247503064658
1.3.6.1.4.1.14519.5.2.1.6279.6001.202313610740309364769212928365,1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576
1.3.6.1.4.1.14519.5.2.1.6279.6001.142292437379762052008677682241,1.3.6.1.4.1.14519.5.2.1.6279.6001.888291896309937415860209787179
1.3.6.1.4.1.14519.5.2.1.6279.6001.186378343509510052901886052675,1.3.6.1.4.1.14519.5.2.1.6279.6001.152944699527354927160275613434
1.3.6.1.4.1.14519.5.2.1.6279.6001.808134164613518601297092139901,1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644
1.3.6.1.4.1.14519.5.2.1.6279.6001.166045097359941678759735162107,1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513
1.3.6.1.4.1.14519.5.2.1.6279.6001.541564533926823186990087847268,1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753
1.3.6.1.4.1.14519.5.2.1.6279.6001.751804495161511023323654179121,1.3.6.1.4.1.14519.5.2.1.6279.6001.219349715895470349269596532320
1.3.6.1.4.1.14519.5.2.1.6279.6001.193632643404878480165927810858,1.3.6.1.4.1.14519.5.2.1.6279.6001.138904664700896606480369521124
1.3.6.1.4.1.14519.5.2.1.6279.6001.931660023131522836511470299550,1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961
1.3.6.1.4.1.14519.5.2.1.6279.6001.242293704887164773216756108679,1.3.6.1.4.1.14519.5.2.1.6279.6001.211956804948320236390242845468
1.3.6.1.4.1.14519.5.2.1.6279.6001.263062819617890562693932243280,1.3.6.1.4.1.14519.5.2.1.6279.6001.328695385904874796172316226975
1.3.6.1.4.1.14519.5.2.1.6279.6001.146693794897525614810620472732,1.3.6.1.4.1.14519.5.2.1.6279.6001.334105754605642100456249422350
1.3.6.1.4.1.14519.5.2.1.6279.6001.261881453527700554965645624212,1.3.6.1.4.1.14519.5.2.1.6279.6001.135657246677982059395844827629
1.3.6.1.4.1.14519.5.2.1.6279.6001.166516471529644578497840692226,1.3.6.1.4.1.14519.5.2.1.6279.6001.323646598927268841433920119813
